Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
1979,0.0,51.55827369,0.0,7.969847679,55.31940389,61.14326471,97.16991463,78.59491554,227.8920696,35.60273123,47.26131099,5.664038181,668.1757701
1980,1.343657568,0.0,0.0,23.75931239,9.040122986,168.2179415,93.1886889,158.7374069,96.9923629,3.509525254,10.35785058,2.315496147,567.4623651
1981,7.317895651,0.0,66.30681272,6.066178024,20.11671577,186.7362122,144.1179173,144.8852515,307.2477746,80.09995002,1.514145851,0.0,964.4088537
1982,0.0,0.0,0.807041287,18.54173341,43.90996988,147.3193184,204.1798407,101.4503946,123.8963592,144.9508942,30.59666821,0.0,815.65222
1983,0.0,0.0,7.815682411,9.89474237,30.4097454,85.87426552,302.4815528,247.0304428,352.3849774,234.5494161,0.163061857,4.717022657,1275.320909
1984,0.0,1.351084113,12.24870081,28.22688572,1.223405361,97.40148225,159.8138749,139.1624727,134.2769863,115.776966,6.901910946,0.0,696.383769
1985,1.577672362,0.0,17.65429056,4.710352182,0.226147458,122.886398,176.274694,78.82674497,27.47312889,114.858528,2.006516695,3.785596311,550.2800694
1986,33.76858616,37.36942792,0.0,32.14122157,0.0,151.8744396,82.76441864,200.2282373,64.28242852,9.799830556,52.82862616,17.59492302,682.6521394
1987,23.10853815,0.0,22.91544318,34.51327124,16.75099839,99.31858286,168.6753809,160.8571331,66.33023401,115.2687582,268.5222631,2.605666935,978.86627
1988,0.0,23.58408737,0.67305696,38.14514589,5.143660963,95.4228932,323.886357,127.6687521,195.5028525,12.17578369,0.0,6.507495776,828.7100854
1989,0.0,0.0,35.3354907,2.474080086,7.699219823,134.1522731,434.8367783,100.0550823,105.7950231,45.58917284,0.453723952,1.311056316,867.7019005
1990,0.739924908,0.0,32.17890978,1.470017202,153.4454543,197.2322017,105.247639,195.8924461,113.6560171,144.6308127,20.21127689,0.0,964.7046998
1991,6.448593616,0.0,0.0,19.72017503,27.4384234,181.5051699,156.3226864,163.8861457,221.7964574,37.33005911,21.66097206,0.114228725,836.2229114
1992,0.0,0.0,0.0,7.831989765,47.47740778,92.49015844,89.7368914,171.5588977,83.95707062,57.72128117,87.42239681,0.0,638.1960937
1993,0.0,0.0,2.891998351,26.79881097,20.36751598,62.33144686,97.68548131,139.250518,159.2640988,138.6383052,0.0,26.12932396,673.3574994
1994,11.74086297,6.840672016,0.0,28.93528458,5.157532439,109.081402,108.523917,182.3818563,38.50656834,263.1114324,38.0364327,0.0,792.3159607
1995,46.34287465,0.0,49.65096653,14.96480799,65.72320256,140.3368289,233.2544143,145.2353465,144.2977397,314.821117,11.68437481,0.0,1166.311673
1996,0.0,3.741593018,0.0,37.60266444,7.866307467,62.71660233,231.9720091,281.3624321,197.3051531,85.81243139,45.17305422,0.0,953.5522472
1997,51.3186391,0.0,18.4767257,49.91273773,14.8243708,35.78082311,144.097926,113.2385076,161.0496472,103.9350922,48.67596008,40.59931058,781.90974
1998,0.0,4.203852296,4.737663776,5.451785415,6.390911818,45.55848177,220.8352887,253.7285643,149.4784578,181.0797286,7.803078413,0.0,879.2678129
1999,0.0,1.478030801,0.0,6.269610405,59.21694636,38.81050566,147.9549536,108.0591857,137.0560841,29.25000334,7.566012651,0.0,535.6613326
2000,0.0,64.02626145,0.163556308,10.3382522,58.45995873,193.9418589,136.6763238,387.3042865,74.94211298,27.96681336,2.259786665,3.264068127,959.343279
2001,9.945235252,0.0,57.05425739,27.58205727,3.564419448,182.0780854,43.44797909,231.8928304,105.8518697,132.8947622,7.533544779,0.0,801.8450409
2002,8.763912916,0.574436039,12.91565418,9.530011356,54.66390222,129.8270777,47.18195564,181.069771,56.31609931,111.9466662,0.521241546,0.0,613.3107281
2003,0.0,6.451529562,8.71780169,24.46762252,0.0,65.51476212,258.2102608,147.2201499,75.06456959,174.2248554,0.0,0.206877127,760.0784287
2004,31.58527493,13.14405942,28.65605354,48.12087286,30.92574853,66.30616656,225.5156525,65.85410248,110.029423,81.38233408,0.163955167,0.0,701.6836431
2005,24.10910779,10.04837799,17.26119992,36.80308908,28.72046995,78.46952043,375.5685245,110.5807366,229.3171259,251.0676798,0.0,3.1261096,1165.071942
2006,0.0,0.0,44.46975437,63.89335442,92.4399972,84.71864386,180.3736909,203.5964324,206.0365373,21.68561354,50.74594671,0.0,947.9599707
2007,0.0,9.088986397,0.0,21.67132156,13.25867221,117.7611691,102.2066371,209.9815551,257.8829765,20.70190625,20.06657314,0.0,772.6197973
2008,0.0,61.71606365,154.4463906,13.50122511,19.60846367,70.22326651,114.8316036,445.5662102,181.4605218,49.18061185,43.02974206,0.967787631,1154.531887
2009,0.0,0.0,2.071371794,15.10104254,17.02556868,63.55995455,52.52411996,255.6410718,150.564878,59.33609135,37.82465683,4.371247768,658.0200033
2010,6.00881815,2.706799999,0.0,7.079790354,27.12936185,168.0500099,310.9878647,283.3617783,211.1799055,77.00283773,62.51819061,11.82592261,1167.85128
2011,0.0,22.79838331,2.4321661,1.937306382,2.131586015,50.14688545,175.4443714,204.7915149,67.23495677,48.95814303,8.177699685,0.0,584.053013
2012,1.100959897,0.0,0.0,19.98509189,1.103485852,135.5332385,209.7415183,120.9162866,116.7729046,83.37185037,46.37243342,0.0,734.8977694
2013,2.178496629,18.66766548,0.0,40.26354706,17.24919787,147.1403865,224.9699289,125.4408023,179.915621,244.5123065,17.98374045,0.0,1018.321693
2014,0.0,0.40102914,39.83836281,22.04678047,69.57540581,52.52691411,129.7941623,164.0982989,102.1610618,23.21028352,33.13009864,0.244052649,637.0264502
2015,0.315099865,0.0,27.08651602,78.08047555,30.19032516,139.5106454,47.90527967,93.10125278,141.9523535,56.58241558,0.336282611,0.0,615.0606462
2016,0.581224263,0.0,1.584398746,8.327444077,90.35265702,87.56206846,159.0230896,126.3005713,533.2109376,43.57921827,0.91010946,1.77721411,1053.208933
2017,0.0,0.0,7.111950696,18.48117292,30.19352996,225.1717921,143.5620541,184.3813534,199.8583244,229.3676075,0.379235536,0.0,1038.507021
2018,0.0,0.0,1.379887581,33.63568565,60.99064571,117.2516069,91.71646917,121.4312593,74.38354201,22.33492902,0.0,47.15748239,570.2815077
2019,14.16782188,0.530879498,0.369188726,20.31352168,34.60648918,94.54298349,132.0546536,146.2497711,258.2567051,169.7160198,0.0,2.807710171,873.6157442
2020,2.456763387,6.35838604,7.971728563,22.43861417,14.57801817,145.4676394,124.2808778,278.4145275,303.8278351,319.0026784,7.544558048,0.0,1232.341627
2021,0.736121356,1.718591563,0.0,12.13231194,59.59572814,148.9579337,242.3226708,160.0071506,279.0840194,73.61185488,29.66287282,0.0,1007.829255
2022,14.3,0.0,1.6,3.5,19.0,104.7,353.6,135.8,186.9,81.4,1.9,18.9,921.6
2023,1.2,0.0,57.9,84.0,88.0,60.8,304.7,33.9,243.6,35.6,49.0,10.3,969.0
2024,0.5,0.8,7.6,10.5,86.7,293.8,288.8,253.7,227.9,86.4,11.3,31.1,1299.1
2025,0.0,0.5,0.6,22.9,74.2,79.1,147.8,210.0,175.0,126.7,3.1,0.3,840.2
